Name,Year,Original Price,Discount Price,Reviews,Genre,Search Filter
ELDEN RING NIGHTREIGN,2025,N/A,$39.99,43929,Action,topsellers
Counter-Strike 2,2012,N/A,Free,814654,Action,topsellers
Steam Deck,2025,N/A,$399.00,N/A,N/A,topsellers
Dune: Awakening,2025,N/A,$49.99,N/A,Action,topsellers
Dead by Daylight,2016,N/A,$19.99,579559,Action,topsellers
The Elder Scrolls IV: Oblivion Remastered,2025,$49.99,$39.99,45396,RPG,topsellers
The Elder Scrolls® Online,2017,$19.99,$4.99,127817,Action,topsellers
Marvel Rivals,2024,N/A,Free,287122,Action,topsellers
Clair Obscur: Expedition 33,2025,N/A,$49.99,74999,Action,topsellers
Stellar Blade™,2025,N/A,$59.99,N/A,Action,topsellers
HELLDIVERS™ 2,2024,N/A,$39.99,740573,Action,topsellers
Schedule I,2025,N/A,$19.99,187245,Action,topsellers
FANTASY LIFE i: The Girl Who Steals Time,2025,N/A,$59.99,6498,RPG,topsellers
Tom Clancy’s The Division® 2,2023,$29.99,$2.99,20073,Action,topsellers
Warframe,2013,N/A,Free,620159,Action,topsellers
Void War,2025,$19.99,$17.99,129,Adventure,topsellers
Tainted Grail: The Fall of Avalon,2025,N/A,$44.99,10694,Action,topsellers
Destiny 2,2019,N/A,Free,625645,Action,topsellers
War Thunder,2013,N/A,Free,626162,Action,topsellers
ELDEN RING,2022,N/A,$59.99,765837,Action,topsellers
Apex Legends™,2020,N/A,Free,994746,Action,topsellers
F1® 25,2025,N/A,$59.99,1784,Racing,topsellers
Call of Duty®: Black Ops 6,2024,$69.99,$38.49,11870,Action,topsellers
R.E.P.O.,2025,N/A,$9.99,151738,Action,topsellers
The Elder Scrolls Online: 2025 Content Pass,2025,N/A,$49.99,39,Action,topsellers
Tom Clancy's Rainbow Six® Siege,2015,N/A,$19.99,189913,Action,topsellers
STAR WARS™ Battlefront™ II,2020,N/A,$39.99,60814,Action,topsellers
Call of Duty®: Black Ops III,2015,$59.99,$19.79,140563,Action,topsellers
Sekiro™: Shadows Die Twice - GOTY Edition,2019,$59.99,$29.99,234398,Action,topsellers
Baldur's Gate 3,2023,N/A,$59.99,670517,Adventure,topsellers
"Warhammer 40,000: Space Marine 2",2024,$59.99,$35.99,118831,Action,topsellers
Guilty as Sock!,2025,$5.50,$4.95,539,Casual,topsellers
Rust,2018,N/A,$39.99,019555,Action,topsellers
Fallout 76,2020,N/A,$39.99,66218,RPG,topsellers
The Outlast Trials,2024,$39.99,$15.99,55391,Action,topsellers
RoadCraft,2025,N/A,$39.99,6245,Adventure,topsellers
Call of Duty®,2022,N/A,N/A,714249,Action,topsellers
NBA 2K25,2024,N/A,$69.99,22726,Simulation,topsellers
Call of Duty®: Warzone™,2022,N/A,Free,44946,Action,topsellers
Cyber Knights: Flashpoint,2025,$29.99,$23.99,915,Action,topsellers
The Elder Scrolls V: Skyrim Special Edition,2016,$39.99,$9.99,189401,RPG,topsellers
REMATCH,2025,N/A,$29.99,N/A,Action,topsellers
Call of Duty®: Black Ops 6 - BlackCell (Season 04),2025,N/A,$29.99,52,Action,topsellers
Car Dealer Simulator,2025,$19.99,$17.99,645,Casual,topsellers
DOOM: The Dark Ages,2025,N/A,$69.99,14536,Action,topsellers
Divinity: Original Sin 2 - Definitive Edition,2017,$44.99,$13.49,166118,Adventure,topsellers
Magic: The Gathering Arena,2023,N/A,Free,19123,Strategy,topsellers
FINAL FANTASY XIV Online,2014,N/A,$19.99,73331,Massively Multiplayer,topsellers
9 Kings,2025,$14.99,$9.74,4740,RPG,topsellers
Date Everything!,2025,$29.99,$26.99,N/A,Simulation,topsellers
Factorio,2020,N/A,$35.00,171262,Casual,topsellers
STAR WARS™: The Old Republic™,2020,N/A,Free,67878,Massively Multiplayer,topsellers
Blue Prince,2025,$29.99,$26.99,7451,Adventure,topsellers
Once Human,2024,N/A,Free,130420,Action,topsellers
Stellaris,2016,N/A,$39.99,127459,Simulation,topsellers
Call of Duty®: Black Ops II,2012,$59.99,$19.79,21131,Action,topsellers
THRONE AND LIBERTY,2024,N/A,Free,63505,Action,topsellers
Overwatch® 2,2023,N/A,Free,343174,Action,topsellers
Drive Beyond Horizons,2025,N/A,$24.99,6068,Action,topsellers
The Sims™ 4,2020,N/A,Free,170591,Adventure,topsellers
Outer Wilds,2020,$24.99,$16.49,70812,Action,topsellers
No Man's Sky,2016,$59.99,$23.99,266184,Action,topsellers
Farming Simulator 25,2024,N/A,$49.99,21655,Simulation,topsellers
Gray Zone Warfare,2024,N/A,$39.99,54218,Action,topsellers
The Last of Us™ Part II Remastered,2025,N/A,$49.99,15235,Action,topsellers
Yu-Gi-Oh! Master Duel,2022,N/A,Free,86714,Simulation,topsellers
VRChat,2017,N/A,Free,240202,Adventure,topsellers
shapez 2,2024,$24.99,$17.49,10021,Casual,topsellers
"Warhammer 40,000: Darktide",2022,$39.99,$15.99,90323,Action,topsellers
Arma Reforger,2023,N/A,$38.23,27871,Action,topsellers
Split Fiction,2025,N/A,$49.99,51104,Action,topsellers
ARK: Survival Ascended,2023,N/A,$44.99,68952,Action,topsellers
Lost Ark,2022,N/A,Free,202025,Action,topsellers
Wuthering Waves,2025,N/A,Free,12341,Action,topsellers
Monster Train 2,2025,N/A,$24.99,3194,Indie,topsellers
Dota 2,2013,N/A,Free,499814,Action,topsellers
Cyberpunk 2077,2020,N/A,$59.99,749081,RPG,topsellers
Monster Hunter Wilds,2025,N/A,$69.99,133565,Action,topsellers
EA SPORTS FC™ 25,2024,N/A,$69.99,68529,Simulation,topsellers
Team Fortress 2,2007,N/A,Free,161046,Action,topsellers
iRacing,2015,N/A,$9.99,3478,Massively Multiplayer,topsellers
Diablo® IV,2024,$49.99,$27.49,36376,Action,topsellers
Phasmophobia,2020,N/A,$19.99,626103,Action,topsellers
Ready or Not,2023,N/A,$49.99,185048,Action,topsellers
Yu-Gi-Oh! EARLY DAYS COLLECTION,2025,$49.99,$39.99,208,RPG,topsellers
Splitgate 2 - Beta ,2025,N/A,Free,7161,Action,topsellers
Balatro,2024,N/A,$14.99,123052,Casual,topsellers
Crusader Kings III,2020,N/A,$49.99,80377,RPG,topsellers
Stardew Valley,2016,N/A,$14.99,756469,Indie,topsellers
Steam Deck Docking Station,2022,N/A,$79.00,N/A,N/A,topsellers
Grand Theft Auto V Enhanced,2025,N/A,$29.99,51923,Action,topsellers
Tomb Raider IV-VI Remastered,2025,$29.99,$22.49,885,Action,topsellers
Starfield,2023,N/A,$69.99,108351,RPG,topsellers
GUILTY GEAR -STRIVE-,2021,N/A,$27.20,42398,Action,topsellers
Batman™: Arkham Knight,2015,$19.99,$3.99,95675,Action,topsellers
ELDEN RING Shadow of the Erdtree,2024,N/A,$39.99,80672,Action,topsellers
THE FINALS,2023,N/A,Free,230880,Action,topsellers
The First Descendant,2024,N/A,Free,103373,Action,topsellers
BeamNG.drive,2015,N/A,$24.99,296871,Racing,topsellers
Atomic Heart,2023,$59.99,$19.79,28959,Action,topsellers
Kingdom Come: Deliverance II,2025,N/A,$59.99,76255,Action,topsellers
Counter-Strike 2,2012,N/A,Free,814654,Action,mostplayed
The Elder Scrolls IV: Oblivion Remastered,2025,$49.99,$39.99,45396,RPG,mostplayed
ELDEN RING NIGHTREIGN,2025,N/A,$39.99,43929,Action,mostplayed
Clair Obscur: Expedition 33,2025,N/A,$49.99,74999,Action,mostplayed
Schedule I,2025,N/A,$19.99,187245,Action,mostplayed
FANTASY LIFE i: The Girl Who Steals Time,2025,N/A,$59.99,6498,RPG,mostplayed
The Elder Scrolls® Online,2017,$19.99,$4.99,127817,Action,mostplayed
Dead by Daylight,2016,N/A,$19.99,579559,Action,mostplayed
Marvel Rivals,2024,N/A,Free,287122,Action,mostplayed
HELLDIVERS™ 2,2024,N/A,$39.99,740573,Action,mostplayed
Warframe,2013,N/A,Free,620159,Action,mostplayed
R.E.P.O.,2025,N/A,$9.99,151738,Action,mostplayed
Tainted Grail: The Fall of Avalon,2025,N/A,$44.99,10694,Action,mostplayed
Destiny 2,2019,N/A,Free,625645,Action,mostplayed
Apex Legends™,2020,N/A,Free,994746,Action,mostplayed
Baldur's Gate 3,2023,N/A,$59.99,670517,Adventure,mostplayed
War Thunder,2013,N/A,Free,626162,Action,mostplayed
ELDEN RING,2022,N/A,$59.99,765837,Action,mostplayed
Tom Clancy's Rainbow Six® Siege,2015,N/A,$19.99,189913,Action,mostplayed
F1® 25,2025,N/A,$59.99,1784,Racing,mostplayed
Rust,2018,N/A,$39.99,019555,Action,mostplayed
"Warhammer 40,000: Space Marine 2",2024,$59.99,$35.99,118831,Action,mostplayed
Tom Clancy’s The Division® 2,2023,$29.99,$2.99,20073,Action,mostplayed
Call of Duty®: Black Ops 6,2024,$69.99,$38.49,11870,Action,mostplayed
RoadCraft,2025,N/A,$39.99,6245,Adventure,mostplayed
DOOM: The Dark Ages,2025,N/A,$69.99,14536,Action,mostplayed
STAR WARS™ Battlefront™ II,2020,N/A,$39.99,60814,Action,mostplayed
NBA 2K25,2024,N/A,$69.99,22726,Simulation,mostplayed
Call of Duty®: Black Ops III,2015,$59.99,$19.79,140563,Action,mostplayed
Call of Duty®,2022,N/A,N/A,714249,Action,mostplayed
The Elder Scrolls V: Skyrim Special Edition,2016,$39.99,$9.99,189401,RPG,mostplayed
Once Human,2024,N/A,Free,130420,Action,mostplayed
Blue Prince,2025,$29.99,$26.99,7451,Adventure,mostplayed
Stellaris,2016,N/A,$39.99,127459,Simulation,mostplayed
Drive Beyond Horizons,2025,N/A,$24.99,6068,Action,mostplayed
Fallout 76,2020,N/A,$39.99,66218,RPG,mostplayed
Split Fiction,2025,N/A,$49.99,51104,Action,mostplayed
Dota 2,2013,N/A,Free,499814,Action,mostplayed
FINAL FANTASY XIV Online,2014,N/A,$19.99,73331,Massively Multiplayer,mostplayed
The Last of Us™ Part II Remastered,2025,N/A,$49.99,15235,Action,mostplayed
Sekiro™: Shadows Die Twice - GOTY Edition,2019,$59.99,$29.99,234398,Action,mostplayed
THRONE AND LIBERTY,2024,N/A,Free,63505,Action,mostplayed
The Sims™ 4,2020,N/A,Free,170591,Adventure,mostplayed
9 Kings,2025,$14.99,$9.74,4740,RPG,mostplayed
The Outlast Trials,2024,$39.99,$15.99,55391,Action,mostplayed
Magic: The Gathering Arena,2023,N/A,Free,19123,Strategy,mostplayed
Cyberpunk 2077,2020,N/A,$59.99,749081,RPG,mostplayed
Yu-Gi-Oh! Master Duel,2022,N/A,Free,86714,Simulation,mostplayed
Steam Deck,2025,N/A,$399.00,N/A,N/A,mostplayed
Monster Train 2,2025,N/A,$24.99,3194,Indie,mostplayed
Wuthering Waves,2025,N/A,Free,12341,Action,mostplayed
Call of Duty®: Black Ops 6 - BlackCell (Season 04),2025,N/A,$29.99,52,Action,mostplayed
Monster Hunter Wilds,2025,N/A,$69.99,133565,Action,mostplayed
STAR WARS™: The Old Republic™,2020,N/A,Free,67878,Massively Multiplayer,mostplayed
Factorio,2020,N/A,$35.00,171262,Casual,mostplayed
Farming Simulator 25,2024,N/A,$49.99,21655,Simulation,mostplayed
Arma Reforger,2023,N/A,$38.23,27871,Action,mostplayed
EA SPORTS FC™ 25,2024,N/A,$69.99,68529,Simulation,mostplayed
Dune: Awakening,2025,N/A,$49.99,N/A,Action,mostplayed
Ready or Not,2023,N/A,$49.99,185048,Action,mostplayed
"Warhammer 40,000: Darktide",2022,$39.99,$15.99,90323,Action,mostplayed
Crusader Kings III,2020,N/A,$49.99,80377,RPG,mostplayed
Team Fortress 2,2007,N/A,Free,161046,Action,mostplayed
No Man's Sky,2016,$59.99,$23.99,266184,Action,mostplayed
Guilty as Sock!,2025,$5.50,$4.95,539,Casual,mostplayed
Lost Ark,2022,N/A,Free,202025,Action,mostplayed
Diablo® IV,2024,$49.99,$27.49,36376,Action,mostplayed
PUBG: BATTLEGROUNDS,2017,N/A,Free,557172,Action,mostplayed
Gray Zone Warfare,2024,N/A,$39.99,54218,Action,mostplayed
Stardew Valley,2016,N/A,$14.99,756469,Indie,mostplayed
The Elder Scrolls Online: 2025 Content Pass,2025,N/A,$49.99,39,Action,mostplayed
Phasmophobia,2020,N/A,$19.99,626103,Action,mostplayed
Stellar Blade™,2025,N/A,$59.99,N/A,Action,mostplayed
ARK: Survival Ascended,2023,N/A,$44.99,68952,Action,mostplayed
VRChat,2017,N/A,Free,240202,Adventure,mostplayed
Kingdom Come: Deliverance II,2025,N/A,$59.99,76255,Action,mostplayed
Forza Horizon 5,2021,N/A,$59.99,207326,Action,mostplayed
RuneScape: Dragonwilds,2025,N/A,$29.99,17250,Action,mostplayed
Call of Duty®: Black Ops II,2012,$59.99,$19.79,21131,Action,mostplayed
Balatro,2024,N/A,$14.99,123052,Casual,mostplayed
Path of Exile 2,2024,N/A,$29.99,126914,Action,mostplayed
iRacing,2015,N/A,$9.99,3478,Massively Multiplayer,mostplayed
BeamNG.drive,2015,N/A,$24.99,296871,Racing,mostplayed
Car Dealer Simulator,2025,$19.99,$17.99,645,Casual,mostplayed
Black Desert,2017,N/A,$9.99,58958,Action,mostplayed
Grand Theft Auto V Enhanced,2025,N/A,$29.99,51923,Action,mostplayed
Risk of Rain 2,2020,N/A,$24.99,212208,Action,mostplayed
Call of Duty®: Warzone™,2022,N/A,Free,44946,Action,mostplayed
American Truck Simulator,2016,N/A,$19.99,144490,Indie,mostplayed
The First Descendant,2024,N/A,Free,103373,Action,mostplayed
THE FINALS,2023,N/A,Free,230880,Action,mostplayed
Outer Wilds,2020,$24.99,$16.49,70812,Action,mostplayed
Enshrouded,2024,N/A,$29.99,69987,Action,mostplayed
Red Dead Redemption 2,2019,N/A,$59.99,675286,Action,mostplayed
Hearts of Iron IV,2024,N/A,$49.99,237592,Simulation,mostplayed
Sea of Thieves: 2025 Edition,2020,N/A,$39.99,306572,Action,mostplayed
GUILTY GEAR -STRIVE-,2021,N/A,$27.20,42398,Action,mostplayed
RimWorld,2018,N/A,$34.99,178210,Indie,mostplayed
Limbus Company,2023,N/A,Free,63365,Action,mostplayed
Planet Zoo,2019,$44.99,$13.49,72871,Casual,mostplayed
inZOI,2025,N/A,$39.99,19029,Adventure,mostplayed
Counter-Strike 2,2012,N/A,Free,814654,Action,newreleases
The Elder Scrolls IV: Oblivion Remastered,2025,$49.99,$39.99,45396,RPG,newreleases
ELDEN RING NIGHTREIGN,2025,N/A,$39.99,43929,Action,newreleases
Clair Obscur: Expedition 33,2025,N/A,$49.99,74999,Action,newreleases
